TimeFrom,TimeTo,Speaker,Gap between speakers
0.03,0.12,0,0
0.12,0.18,0,0
0.18,0.26,0,0
0.26,0.54,0,0
0.54,0.64,0,0
0.64,0.73,0,0
0.73,0.99,0,0
0.99,1.17,0,0
1.17,1.26,0,0
1.26,1.5,0,0
1.5,1.65,0,0
1.65,2.29,0,0
2.78,2.91,0,0
2.91,3.04,0,0
3.04,3.21,0,0
3.21,3.66,0,0
3.7,4.14,0,0
4.14,4.28,0,0
4.38,4.55,0,0
4.55,4.88,0,0
4.88,5.03,0,0
5.03,5.3,0,0
5.3,6.22,0,0
6.5,6.98,0,0
7.52,7.66,0,0
7.66,8.35,0,0
8.41,8.81,0,0
8.81,9.14,0,0
9.14,9.37,0,0
9.37,9.46,0,0
9.46,10.06,0,0
10.55,10.83,0,0
10.83,10.92,0,0
10.92,11.05,0,0
11.05,11.14,0,0
11.14,11.29,0,0
11.29,11.36,0,0
11.36,11.54,0,0
11.54,11.61,0,0
11.61,11.89,0,0
11.89,12.03,0,0
12.03,12.3,0,0
12.3,12.5,0,0
12.5,12.7,0,0
12.7,12.79,0,0
12.79,13.19,0,0
13.39,13.63,0,0
13.63,13.9,0,0
13.9,14.08,0,0
14.08,14.26,0,0
14.26,14.66,0,0
15.14,15.28,0,0
15.28,15.37,0,0
15.37,15.57,0,0
15.57,15.85,0,0
15.85,15.96,0,0
15.96,16.12,0,0
16.12,16.54,0,0
16.54,16.78,0,0
16.78,16.88,0,0
16.88,17.4,0,0
17.4,17.53,0,0
17.53,17.65,0,0
17.65,17.71,0,0
17.71,17.83,0,0
17.83,18.35,0,0
18.35,18.54,0,0
18.54,18.85,0,0
18.88,19.44,0,0
19.44,19.76,0,0
19.76,20.02,0,0
20.02,20.22,0,0
20.22,20.3,0,0
20.3,20.67,0,0
20.67,20.91,0,0
20.91,21.27,0,0
21.27,21.46,0,0
21.46,21.97,0,0
21.97,22.47,0,0
22.47,22.6,0,0
22.6,22.9,0,0
