TimeFrom,TimeTo,Speaker,Gap between speakers
0.08,0.34,0,0
0.34,0.48,0,0
0.48,0.98,0,0
1.82,2.07,0,0
2.07,2.22,0,0
2.22,2.27,0,0
2.27,2.83,0,0
2.83,3.08,0,0
3.18,3.82,0,0
3.87,3.99,0,0
3.99,4.67,0,0
4.67,4.84,0,0
4.84,5.07,0,0
5.07,5.51,0,0
5.51,5.78,0,0
5.78,5.93,0,0
5.93,6.28,0,0
6.57,6.86,0,0
6.86,7.13,0,0
7.13,7.44,0,0
7.44,8.19,0,0
8.42,8.67,1,0.23
8.67,8.83,1,0.23
8.83,9.13,1,0.23
9.13,9.2,1,0.23
9.2,9.46,1,0.23
10.15,10.29,1,0.23
10.29,10.46,1,0.23
10.46,10.73,1,0.23
10.73,10.97,1,0.23
10.97,11.19,1,0.23
11.19,11.42,1,0.23
11.61,11.95,1,0.23
11.95,12.33,1,0.23
12.33,12.6,1,0.23
12.6,12.68,1,0.23
12.68,13.11,1,0.23
13.72,14,1,0.23
14,14.12,1,0.23
14.12,14.37,1,0.23
14.37,14.51,1,0.23
14.51,14.67,1,0.23
14.67,14.9,1,0.23
14.9,15.23,1,0.23
15.23,15.35,1,0.23
15.35,15.67,1,0.23
15.67,15.75,1,0.23
15.99,16.21,1,0.23
16.21,16.37,1,0.23
16.51,16.61,1,0.23
16.61,16.82,1,0.23
16.82,17.02,1,0.23
17.02,17.35,1,0.23
17.8,18.4,0,0.45
18.43,18.99,0,0.45
19.52,19.65,0,0.45
19.65,19.9,0,0.45
19.93,20.13,0,0.45
20.13,20.46,0,0.45
20.46,20.58,0,0.45
20.58,20.75,0,0.45
20.75,20.93,0,0.45
20.93,21.13,0,0.45
21.13,21.29,0,0.45
21.29,21.44,0,0.45
21.44,21.77,0,0.45
21.77,22.16,0,0.45
22.22,22.48,0,0.45
22.48,22.84,0,0.45
22.84,23.19,0,0.45
23.45,23.83,1,0.26
23.87,24.22,0,0.04
24.26,24.49,0,0.04
24.49,24.67,0,0.04
24.67,24.78,0,0.04
24.78,24.89,0,0.04
24.89,25.24,0,0.04
25.3,25.79,0,0.04
25.79,26.08,0,0.04
26.08,26.7,0,0.04
27.63,27.7,1,0.93
27.7,27.9,1,0.93
27.9,28.18,1,0.93
28.18,28.54,1,0.93
28.54,28.81,1,0.93
